older,younger,gpa,points,workhr,study,phd,extravert,gender,pet,area
0,2,3,257,30,10,0,2,1,1,1
2,0,2.5,278,10,14,0,4,1,1,5
1,1,3.49,246,16,10,0,3,1,2,1
1,0,4,278,0,14,0,2,1,2,1
0,1,2.6,214,0,30,1,2,1,2,4
1,0,2.7,278,4,5,1,2,1,2,2
1,1,3.872,278,30,15,0,5,1,1,3
2,1,2.9,257,0,15,1,2,1,1,1
1,1,3.3,300,10,5,0,1,1,2,5
2,0,3.93,285,0,38,1,4,2,2,2
4,0,3.13,257,10,8,1,2,2,2,2
0,2,2.3,278,3,7,0,3,2,2,1
0,2,3,278,0,40,1,2,1,1,2
2,2,3,278,0,5,1,4,1,2,2
1,1,3.47,267,7,7,1,4,1,2,2
1,0,3.2,261,0,22,0,1,1,2,3
2,0,3.4,252,2,40,0,3,2,2,5
1,1,1.9,278,4,NA,0,1,1,2,5
2,4,3.33,257,0,3,1,3,1,1,1
2,0,3.1,257,12,3,0,3,2,2,5
0,0,3.85,278,0,15,1,4,1,2,1
3,1,3,278,15,20,1,5,1,2,2
1,1,2.41,270,12,20,0,2,1,2,NA
1,1,2.41,270,12,20,1,2,1,2,2
0,4,3.48,278,0,22,1,4,1,2,1
0,1,2.7,278,30,10,0,4,2,2,4
2,0,2.765,278,5,4,0,5,2,1,4
0,1,3.9,275,10,20,1,2,2,2,2
2,3,3.64,289,0,18,0,4,1,1,2
2,2,3.35,280,0,41,1,3,1,2,3
2,0,3.4,275,12,20,0,2,2,2,5
3,0,3.63,250,0,12,0,2,1,2,5
1,1,2.6,300,12,17.5,1,2,2,2,5
2,0,3.35,270,0,43,1,3,1,2,4
2,0,3.3,250,0,6,1,2,1,2,1
0,0,2.9,250,0,5,1,2,1,2,4
1,0,2.6,250,3,8,1,2,1,1,1
0,2,2.9,285,11,10,0,2,1,2,1
