Club ,Assets,Pts,RankAssets,RankPoints
Sheffield United,82.31,54,20,9.5
Norwich City,109.44,21,19,20
Aston Villa,171.9,35,18,17
Burnley,178.88,54,17,9.5
Brighton & Hove Albion,195.39,41,16,15
Watford,212.72,34,15,18.5
Crystal Palace,212.9,43,14,14
Southampton,213.3,52,13,11
Newcastle United,246.22,44,12,13
Wolverhampton Wanderers,300.38,59,11,6.5
Bournemouth,300.83,34,10,18.5
West Ham United,313.88,39,9,16
Leicester City,369.23,62,8,5
Everton,455.4,49,7,12
Arsenal,615.38,56,6,8
Manchester United,677.93,66,5,3.5
Chelsea,726.3,66,4,3.5
Tottenham Hotspur,885.6,59,3,6.5
Liverpool,965.03,99,2,1
Manchester City,1001.5,81,1,2
